flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
124.70.62.170:443->172.20.92.191:59922,CSDNapp,79,46394,1448,0.004
124.70.62.170:443->172.20.92.191:59922,CSDNapp,80,47574,1180,0.012
124.70.62.170:443->172.20.92.191:59922,CSDNapp,81,47634,60,0.002
124.70.62.170:443->172.20.92.191:59922,CSDNapp,82,47688,54,0.001999
120.46.68.203:443->172.20.92.191:59861,CSDNapp,83,47748,60,0.161999
120.46.68.203:443->172.20.92.191:59861,CSDNapp,84,48327,579,0.015002
121.36.68.44:443->172.20.92.191:59853,CSDNapp,85,48387,60,0.184001
121.36.68.44:443->172.20.92.191:59853,CSDNapp,86,48715,328,0.002001
121.36.68.44:443->172.20.92.191:59853,CSDNapp,87,49321,606,0.003999
121.36.68.44:443->172.20.92.191:59853,CSDNapp,88,49413,92,0.002001
124.70.62.170:443->172.20.92.191:59860,CSDNapp,89,49473,60,0.207648
120.46.68.203:443->172.20.92.191:59861,CSDNapp,90,49527,54,0.066645
121.36.68.44:443->172.20.92.191:59853,CSDNapp,91,49587,60,0.184205
120.46.216.189:443->172.20.92.191:59855,CSDNapp,92,49641,54,0.681311
120.46.216.189:443->172.20.92.191:59855,CSDNapp,93,49701,60,0.458171
120.46.216.189:443->172.20.92.191:59855,CSDNapp,94,49755,54,0.001997
120.46.68.203:443->172.20.92.191:59861,CSDNapp,95,49809,54,1.53947
124.70.62.170:443->172.20.92.191:59860,CSDNapp,96,49863,54,1.543466
121.36.68.44:443->172.20.92.191:59853,CSDNapp,97,49917,54,1.420914
124.70.37.167:443->172.20.92.191:59999,CSDNapp,98,50519,602,0.006999
120.46.68.203:443->172.20.92.191:59861,CSDNapp,99,50579,60,0.920426
120.46.68.203:443->172.20.92.191:59861,CSDNapp,100,50633,54,0.005
121.36.68.44:443->172.20.92.191:59853,CSDNapp,101,50693,60,1.056422
124.70.62.170:443->172.20.92.191:59860,CSDNapp,102,50753,60,1.068428
121.36.68.44:443->172.20.92.191:59853,CSDNapp,103,50807,54,0.005002
124.70.62.170:443->172.20.92.191:59860,CSDNapp,104,50861,54,0.003998
124.70.37.167:443->172.20.92.191:59999,CSDNapp,105,50921,60,0.562548
124.70.37.167:443->172.20.92.191:59999,CSDNapp,106,50981,60,0.002002
124.70.37.167:443->172.20.92.191:59999,CSDNapp,107,52429,1448,0.256059
124.70.37.167:443->172.20.92.191:59999,CSDNapp,108,53877,1448,0.003
124.70.37.167:443->172.20.92.191:59999,CSDNapp,109,55057,1180,0.012
124.70.37.167:443->172.20.92.191:59999,CSDNapp,110,55111,54,0.025001
124.70.37.167:443->172.20.92.191:59999,CSDNapp,111,55258,147,0.046685
124.70.37.167:443->172.20.92.191:59999,CSDNapp,112,55411,153,0.016999
124.70.37.167:443->172.20.92.191:59999,CSDNapp,113,56764,1353,0.022
124.70.37.167:443->172.20.92.191:59999,CSDNapp,114,56824,60,0.953928
124.70.37.167:443->172.20.92.191:59999,CSDNapp,115,57152,328,0.003
124.70.37.167:443->172.20.92.191:59999,CSDNapp,116,57284,132,0.002
124.70.37.167:443->172.20.92.191:59999,CSDNapp,117,57932,648,0.002
124.70.37.167:443->172.20.92.191:59999,CSDNapp,118,57986,54,0.006001
124.70.37.167:443->172.20.92.191:59999,CSDNapp,119,58078,92,0.006753
124.70.37.167:443->172.20.92.191:59999,CSDNapp,120,58138,60,0.52953
121.36.68.44:443->172.20.92.191:60109,CSDNapp,121,58830,692,0.007998
124.70.37.167:443->172.20.92.191:60110,CSDNapp,122,59491,661,0.008
121.36.68.44:443->172.20.92.191:60109,CSDNapp,123,59551,60,0.583183
121.36.68.44:443->172.20.92.191:60109,CSDNapp,124,59611,60,0.028006
121.36.68.44:443->172.20.92.191:60109,CSDNapp,125,61059,1448,0.193502
121.36.68.44:443->172.20.92.191:60109,CSDNapp,126,62507,1448,0.003
121.36.68.44:443->172.20.92.191:60109,CSDNapp,127,63687,1180,0.017001
124.70.37.167:443->172.20.92.191:60110,CSDNapp,128,63747,60,0.743126
124.70.37.167:443->172.20.92.191:60110,CSDNapp,129,63807,60,0.002
121.36.68.44:443->172.20.92.191:60109,CSDNapp,130,63861,54,0.02
124.70.37.167:443->172.20.92.191:60110,CSDNapp,131,65309,1448,0.008
124.70.37.167:443->172.20.92.191:60110,CSDNapp,132,66757,1448,0.002767
124.70.37.167:443->172.20.92.191:60110,CSDNapp,133,67937,1180,0.012107
124.70.37.167:443->172.20.92.191:60110,CSDNapp,134,67991,54,0.008999
124.70.37.167:443->172.20.92.191:60110,CSDNapp,135,68138,147,0.124999
121.36.68.44:443->172.20.92.191:60109,CSDNapp,136,68285,147,0.157872
124.70.37.167:443->172.20.92.191:60110,CSDNapp,137,68438,153,0.01
121.36.68.44:443->172.20.92.191:60109,CSDNapp,138,68591,153,0.008001
124.70.37.167:443->172.20.92.191:60110,CSDNapp,139,69971,1380,0.006001
124.70.37.167:443->172.20.92.191:60110,CSDNapp,140,71419,1448,0.004
124.70.37.167:443->172.20.92.191:60110,CSDNapp,141,72867,1448,0.002999
124.70.37.167:443->172.20.92.191:60110,CSDNapp,142,74315,1448,0.003
124.70.37.167:443->172.20.92.191:60110,CSDNapp,143,75763,1448,0.003
124.70.37.167:443->172.20.92.191:60110,CSDNapp,144,76995,1232,0.008
121.36.68.44:443->172.20.92.191:60109,CSDNapp,145,77523,528,0.026998
124.70.37.167:443->172.20.92.191:60110,CSDNapp,146,77583,60,0.439771
124.70.37.167:443->172.20.92.191:60110,CSDNapp,147,77643,60,0.003
124.70.37.167:443->172.20.92.191:60110,CSDNapp,148,77703,60,0.002002
121.36.68.44:443->172.20.92.191:60109,CSDNapp,149,78031,328,0.447773
121.36.68.44:443->172.20.92.191:60109,CSDNapp,150,78163,132,0.002999
121.36.68.44:443->172.20.92.191:60109,CSDNapp,151,78720,557,0.002004
124.70.37.167:443->172.20.92.191:60110,CSDNapp,152,79048,328,0.013999
121.36.68.44:443->172.20.92.191:60109,CSDNapp,153,79140,92,0.005996
124.70.37.167:443->172.20.92.191:60110,CSDNapp,154,79285,145,0.046006
124.70.37.167:443->172.20.92.191:60110,CSDNapp,155,79928,643,0.003996
124.70.37.167:443->172.20.92.191:60110,CSDNapp,156,79982,54,0.012996
124.70.37.167:443->172.20.92.191:60110,CSDNapp,157,80074,92,0.054002
121.36.68.44:443->172.20.92.191:60109,CSDNapp,158,80134,60,0.40327
124.70.37.167:443->172.20.92.191:60110,CSDNapp,159,80194,60,0.413777
124.70.62.170:443->172.20.92.191:60231,CSDNapp,160,80884,690,0.006999
124.70.62.170:443->172.20.92.191:60231,CSDNapp,161,80944,60,0.1
124.70.62.170:443->172.20.92.191:60231,CSDNapp,162,81004,60,0.002
124.70.62.170:443->172.20.92.191:60231,CSDNapp,163,82452,1448,0.004001
124.70.62.170:443->172.20.92.191:60231,CSDNapp,164,83900,1448,0.002999
124.70.62.170:443->172.20.92.191:60231,CSDNapp,165,85080,1180,0.012002
124.70.62.170:443->172.20.92.191:60231,CSDNapp,166,85134,54,0.003001
124.70.62.170:443->172.20.92.191:60231,CSDNapp,167,85281,147,0.001999
124.70.62.170:443->172.20.92.191:60231,CSDNapp,168,85434,153,0.002001
124.70.62.170:443->172.20.92.191:60231,CSDNapp,169,86882,1448,0.002999
124.70.62.170:443->172.20.92.191:60231,CSDNapp,170,87112,230,0.004
124.70.62.170:443->172.20.92.191:60231,CSDNapp,171,87172,60,0.004
124.70.62.170:443->172.20.92.191:60231,CSDNapp,172,87232,60,0.002
124.70.62.170:443->172.20.92.191:60231,CSDNapp,173,87560,328,0.003
124.70.62.170:443->172.20.92.191:60231,CSDNapp,174,87692,132,0.001999
124.70.62.170:443->172.20.92.191:60231,CSDNapp,175,88057,365,0.002
124.70.62.170:443->172.20.92.191:60231,CSDNapp,176,88149,92,0.002
124.70.62.170:443->172.20.92.191:60231,CSDNapp,177,88241,92,0.002
124.70.62.170:443->172.20.92.191:60231,CSDNapp,178,88301,60,0.002
124.70.37.167:443->172.20.92.191:59999,CSDNapp,179,88356,55,20.067562
124.70.37.167:443->172.20.92.191:59999,CSDNapp,180,88422,66,0.003001
