flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,76,34444,60,0.079901
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,77,34621,177,0.0752
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,78,34681,60,0.226644
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,79,34869,188,0.641307
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,80,35592,723,0.004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,81,35652,60,0.005
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,82,35933,281,0.005152
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,83,36018,85,0.002516
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,84,36072,54,0.002998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,85,36157,85,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,86,36223,66,0.003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,87,37671,1448,0.135885
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,88,37831,160,0.003999
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,89,39279,1448,0.003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,90,40727,1448,0.002997
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,91,40781,54,0.00201
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,92,42229,1448,0.003007
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,93,43677,1448,0.003001
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,94,45125,1448,0.004088
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,95,45179,54,0.001999
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,96,46627,1448,0.010192
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,97,48075,1448,0.00413
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,98,49523,1448,0.003227
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,99,50971,1448,0.004001
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,100,51025,54,0.002003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,101,52473,1448,0.003325
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,102,53921,1448,0.003799
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,103,55369,1448,0.010556
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,104,56817,1448,0.004008
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,105,56871,54,0.002003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,106,58319,1448,0.003849
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,107,59767,1448,0.003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,108,61215,1448,0.002999
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,109,62663,1448,0.002545
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,110,64111,1448,0.003999
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,111,65165,1054,0.013043
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,112,66108,943,0.109777
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,113,66162,54,0.004997
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,114,66222,60,0.005
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,115,66436,214,0.002486
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,116,66523,87,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,117,66608,85,0.00284
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,118,66662,54,0.01182
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,119,66940,278,0.027144
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,120,67000,60,0.60909
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,121,67364,364,0.270184
