flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
111.6.56.83:443->172.20.92.191:59849,知乎,86,48845,1448,0.004542
111.6.56.83:443->172.20.92.191:59849,知乎,87,50293,1448,0.005
111.6.56.83:443->172.20.92.191:59849,知乎,88,51741,1448,0.004002
111.6.56.83:443->172.20.92.191:59849,知乎,89,53189,1448,0.003998
111.6.56.83:443->172.20.92.191:59849,知乎,90,54637,1448,0.00411
111.6.56.83:443->172.20.92.191:59849,知乎,91,56085,1448,0.012085
111.6.56.83:443->172.20.92.191:59849,知乎,92,57533,1448,0.005579
111.6.56.83:443->172.20.92.191:59849,知乎,93,58981,1448,0.004826
111.6.56.83:443->172.20.92.191:59849,知乎,94,59047,66,0.002002
111.6.56.83:443->172.20.92.191:59849,知乎,95,59139,92,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,96,59193,54,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,97,60641,1448,0.005
111.6.56.83:443->172.20.92.191:59849,知乎,98,62089,1448,0.003307
111.6.56.83:443->172.20.92.191:59849,知乎,99,63537,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,100,63591,54,0.003566
111.6.56.83:443->172.20.92.191:59849,知乎,101,63651,60,0.008558
111.6.56.83:443->172.20.92.191:59849,知乎,102,65099,1448,0.003831
111.6.56.83:443->172.20.92.191:59849,知乎,103,66547,1448,0.006521
111.6.56.83:443->172.20.92.191:59849,知乎,104,66613,66,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,105,66679,66,0.003386
111.6.56.83:443->172.20.92.191:59849,知乎,106,66733,54,0.002487
111.6.56.83:443->172.20.92.191:59849,知乎,107,68181,1448,0.004006
111.6.56.83:443->172.20.92.191:59849,知乎,108,69629,1448,0.004616
111.6.56.83:443->172.20.92.191:59849,知乎,109,69683,54,0.005043
111.6.56.83:443->172.20.92.191:59849,知乎,110,71131,1448,0.003814
111.6.56.83:443->172.20.92.191:59849,知乎,111,72579,1448,0.00464
111.6.56.83:443->172.20.92.191:59849,知乎,112,72633,54,0.003684
111.6.56.83:443->172.20.92.191:59849,知乎,113,74081,1448,0.003912
111.6.56.83:443->172.20.92.191:59849,知乎,114,75529,1448,0.004826
111.6.56.83:443->172.20.92.191:59849,知乎,115,75583,54,0.003697
111.6.56.83:443->172.20.92.191:59849,知乎,116,77031,1448,0.005008
111.6.56.83:443->172.20.92.191:59849,知乎,117,78479,1448,0.003067
111.6.56.83:443->172.20.92.191:59849,知乎,118,78533,54,0.004011
111.6.56.83:443->172.20.92.191:59849,知乎,119,79981,1448,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,120,81429,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,121,81483,54,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,122,82931,1448,0.004792
111.6.56.83:443->172.20.92.191:59849,知乎,123,84379,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,124,84445,66,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,125,85893,1448,0.004002
111.6.56.83:443->172.20.92.191:59849,知乎,126,85953,60,0.001998
111.6.56.83:443->172.20.92.191:59849,知乎,127,87401,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,128,87467,66,0.00299
111.6.56.83:443->172.20.92.191:59849,知乎,129,88915,1448,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,130,90363,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,131,90417,54,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,132,91865,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,133,93313,1448,0.004801
111.6.56.83:443->172.20.92.191:59849,知乎,134,93379,66,0.001867
111.6.56.83:443->172.20.92.191:59849,知乎,135,94827,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,136,96275,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,137,96329,54,0.00304
111.6.56.83:443->172.20.92.191:59849,知乎,138,97777,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,139,99225,1448,0.005311
111.6.56.83:443->172.20.92.191:59849,知乎,140,99279,54,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,141,100727,1448,0.003998
111.6.56.83:443->172.20.92.191:59849,知乎,142,102175,1448,0.004669
111.6.56.83:443->172.20.92.191:59849,知乎,143,102241,66,0.004
111.6.56.83:443->172.20.92.191:59849,知乎,144,103689,1448,0.005
111.6.56.83:443->172.20.92.191:59849,知乎,145,105137,1448,0.003857
111.6.56.83:443->172.20.92.191:59849,知乎,146,105191,54,0.002511
111.6.56.83:443->172.20.92.191:59849,知乎,147,106639,1448,0.005334
111.6.56.83:443->172.20.92.191:59849,知乎,148,108087,1448,0.005029
111.6.56.83:443->172.20.92.191:59849,知乎,149,108153,66,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,150,109601,1448,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,151,111049,1448,0.004109
111.6.56.83:443->172.20.92.191:59849,知乎,152,111103,54,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,153,112551,1448,0.003998
111.6.56.83:443->172.20.92.191:59849,知乎,154,113999,1448,0.002001
111.6.56.83:443->172.20.92.191:59849,知乎,155,115447,1448,0.003947
111.6.56.83:443->172.20.92.191:59849,知乎,156,116895,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,157,116949,54,0.001999
111.6.56.83:443->172.20.92.191:59849,知乎,158,118397,1448,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,159,119845,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,160,121293,1448,0.001999
111.6.56.83:443->172.20.92.191:59849,知乎,161,122741,1448,0.003012
111.6.56.83:443->172.20.92.191:59849,知乎,162,122795,54,0.007492
111.6.56.83:443->172.20.92.191:59849,知乎,163,124243,1448,0.015997
111.6.56.83:443->172.20.92.191:59849,知乎,164,125691,1448,0.013
111.6.56.83:443->172.20.92.191:59849,知乎,165,127139,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,166,128587,1448,0.002955
111.6.56.83:443->172.20.92.191:59849,知乎,167,130035,1448,0.002509
111.6.56.83:443->172.20.92.191:59849,知乎,168,131483,1448,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,169,132931,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,170,134379,1448,0.003997
111.6.56.83:443->172.20.92.191:59849,知乎,171,135827,1448,0.002002
111.6.56.83:443->172.20.92.191:59849,知乎,172,137275,1448,0.005002
111.6.56.83:443->172.20.92.191:59849,知乎,173,138723,1448,0.002997
111.6.56.83:443->172.20.92.191:59849,知乎,174,140171,1448,0.003004
111.6.56.83:443->172.20.92.191:59849,知乎,175,141619,1448,0.003996
111.6.56.83:443->172.20.92.191:59849,知乎,176,143067,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,177,144515,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,178,145963,1448,0.004344
111.6.56.83:443->172.20.92.191:59849,知乎,179,147411,1448,0.003189
111.6.56.83:443->172.20.92.191:59849,知乎,180,147477,66,0.003007
111.6.56.83:443->172.20.92.191:59849,知乎,181,147543,66,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,182,147597,54,0.002
111.6.56.83:443->172.20.92.191:59849,知乎,183,149045,1448,0.004999
111.6.56.83:443->172.20.92.191:59849,知乎,184,149099,54,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,185,150547,1448,0.003434
111.6.56.83:443->172.20.92.191:59849,知乎,186,151995,1448,0.003512
111.6.56.83:443->172.20.92.191:59849,知乎,187,152049,54,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,188,153497,1448,0.003998
111.6.56.83:443->172.20.92.191:59849,知乎,189,153563,66,0.001999
111.6.56.83:443->172.20.92.191:59849,知乎,190,155011,1448,0.004004
111.6.56.83:443->172.20.92.191:59849,知乎,191,156459,1448,0.001995
111.6.56.83:443->172.20.92.191:59849,知乎,192,156513,54,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,193,157961,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,194,159409,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,195,159463,54,0.002
111.6.56.83:443->172.20.92.191:59849,知乎,196,160911,1448,0.00349
111.6.56.83:443->172.20.92.191:59849,知乎,197,162359,1448,0.003004
111.6.56.83:443->172.20.92.191:59849,知乎,198,162413,54,0.002001
111.6.56.83:443->172.20.92.191:59849,知乎,199,163861,1448,0.002995
111.6.56.83:443->172.20.92.191:59849,知乎,200,165309,1448,0.003999
111.6.56.83:443->172.20.92.191:59849,知乎,201,165363,54,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,202,166811,1448,0.003003
111.6.56.83:443->172.20.92.191:59849,知乎,203,168259,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,204,168313,54,0.002945
111.6.56.83:443->172.20.92.191:59849,知乎,205,169761,1448,0.002997
111.6.56.83:443->172.20.92.191:59849,知乎,206,171209,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,207,171263,54,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,208,172711,1448,0.003005
111.6.56.83:443->172.20.92.191:59849,知乎,209,174159,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,210,174213,54,0.003999
111.6.56.83:443->172.20.92.191:59849,知乎,211,175661,1448,0.004692
111.6.56.83:443->172.20.92.191:59849,知乎,212,175727,66,0.005997
111.6.56.83:443->172.20.92.191:59849,知乎,213,177175,1448,0.003999
111.6.56.83:443->172.20.92.191:59849,知乎,214,178623,1448,0.004
111.6.56.83:443->172.20.92.191:59849,知乎,215,178677,54,0.002
111.6.56.83:443->172.20.92.191:59849,知乎,216,180125,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,217,181573,1448,0.004
111.6.56.83:443->172.20.92.191:59849,知乎,218,181627,54,0.003954
111.6.56.83:443->172.20.92.191:59849,知乎,219,181687,60,0.024048
111.6.56.83:443->172.20.92.191:59849,知乎,220,181747,60,0.006006
