Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,SNI,Category
2024-10-09 17:35:54,172.20.160.113,223.5.5.5,64435,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,119.29.29.29,64434,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,61752,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61753,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,61754,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61755,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61751,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,61756,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61758,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61759,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,119.29.29.29,64436,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61757,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,61760,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,223.5.5.5,172.20.160.113,53,64429,UDP,,Unclassified
2024-10-09 17:35:54,223.5.5.5,172.20.160.113,53,64430,UDP,,Unclassified
2024-10-09 17:35:54,119.29.29.29,172.20.160.113,53,64432,UDP,,Unclassified
2024-10-09 17:35:54,119.29.29.29,172.20.160.113,53,64431,UDP,,Unclassified
2024-10-09 17:35:54,223.5.5.5,172.20.160.113,53,64435,UDP,,Unclassified
2024-10-09 17:35:54,119.29.29.29,172.20.160.113,53,64434,UDP,,Unclassified
2024-10-09 17:35:54,223.5.5.5,172.20.160.113,53,64433,UDP,,Unclassified
2024-10-09 17:35:54,119.29.29.29,172.20.160.113,53,64436,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.40.180.70,61747,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.40.180.70,61747,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.40.180.70,61747,443,TCP,s1.hdslb.com,Other SNI Traffic
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.40.180.70,61747,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.40.180.70,61747,443,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
